BEGIN_DAY,STATE,MONTH_NAME,EVENT_TYPE,DAMAGE_PROPERTY,MONT,BEGIN_LON
9,TEXAS,May,Flash Flood,0.00K,29.7898,-98.6406
15,MINNESOTA,July,Thunderstorm Wind,0.00K,45.77,-92.87
20,TEXAS,October,Thunderstorm Wind,0.00K,32.71,-95.88
20,TEXAS,October,Thunderstorm Wind,0.00K,32.87,-97.61
20,TEXAS,October,Thunderstorm Wind,0.00K,32.8,-98.1
20,TEXAS,October,Tornado,10.00M,32.9312,-96.4864
4,VERMONT,September,Hail,0.00K,43.4,-72.72
26,NEW YORK,September,Thunderstorm Wind,5.00K,44.6988,-75.222
13,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,28.37,-80.6
13,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,28.63,-80.66
13,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,29.05,-80.9
30,FLORIDA,September,Rip Current,0.00K,,
29,WEST VIRGINIA,January,Winter Weather,,,
9,ARKANSAS,March,Thunderstorm Wind,0.00K,34.4,-93.62
9,ARKANSAS,March,Thunderstorm Wind,0.00K,35.3,-93.64
30,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,28.63,-80.81
30,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,27.35,-80.24
2,GULF OF MEXICO,September,Marine Thunderstorm Wind,0.00K,27.66,-82.59
6,GULF OF MEXICO,September,Waterspout,0.00K,27.63,-82.76
18,GULF OF MEXICO,September,Marine Thunderstorm Wind,0.00K,27.95,-82.47
2,MONTANA,September,Hail,0.00K,48.39,-104.26
2,MONTANA,September,Hail,0.00K,48.39,-104.29
22,MISSOURI,September,Heavy Rain,0.00K,37.83,-94.35
22,MISSOURI,September,Flash Flood,0.00K,37.84,-94.36
9,GEORGIA,September,Thunderstorm Wind,0.00K,31.58,-84.18
18,FLORIDA,September,Thunderstorm Wind,0.00K,30.16,-83.28
4,CONNECTICUT,September,Thunderstorm Wind,0.50K,41.976,-72.5815
24,ALABAMA,September,Drought,,,
24,ALABAMA,September,Drought,,,
1,MONTANA,September,Hail,0.00K,45.98,-105.39
1,MONTANA,September,Thunderstorm Wind,0.00K,45.93,-104.44
2,MONTANA,September,Hail,0.00K,48.72,-104.74
17,MONTANA,September,Thunderstorm Wind,0.00K,46.93,-104.18
17,MONTANA,September,Thunderstorm Wind,0.00K,47.02,-104.33
17,MONTANA,September,Thunderstorm Wind,0.00K,46.98,-104.0739
17,MONTANA,September,Thunderstorm Wind,0.00K,47.02,-104.33
22,MISSOURI,September,Heavy Rain,0.00K,37.6,-94.28
24,FLORIDA,September,Drought,,,
24,FLORIDA,September,Drought,,,
18,FLORIDA,September,Thunderstorm Wind,0.00K,30.4902,-84.6081
18,FLORIDA,September,Thunderstorm Wind,3.00K,30.1263,-83.551
18,FLORIDA,September,Thunderstorm Wind,3.00K,30.1749,-83.5834
4,CONNECTICUT,September,Hail,0.00K,41.97,-72.57
30,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,29.05,-80.9
30,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,27.35,-80.24
18,FLORIDA,September,Thunderstorm Wind,0.00K,30.19,-84.05
18,FLORIDA,September,Thunderstorm Wind,10.00K,30.32,-85.43
4,CONNECTICUT,September,Hail,0.00K,41.9314,-72.3794
12,OHIO,January,Winter Weather,,,
12,OHIO,January,Winter Weather,,,
12,OHIO,January,Winter Weather,,,
12,OHIO,January,Winter Storm,,,
12,OHIO,January,Winter Storm,,,
12,OHIO,January,Winter Storm,,,
12,OHIO,January,Winter Weather,,,
2,MASSACHUSETTS,September,Flood,0.00K,42.4272,-71.1352
2,MASSACHUSETTS,September,Flood,10.00K,42.4757,-70.9194
2,MASSACHUSETTS,September,Flood,0.50K,42.4649,-70.9717
2,MASSACHUSETTS,September,Flood,1.00K,42.0932,-71.0547
2,MASSACHUSETTS,September,Flood,1.00K,42.1027,-71.0171
4,CONNECTICUT,September,Hail,0.00K,41.87,-72.37
4,CONNECTICUT,September,Hail,0.00K,41.87,-72.27
4,MASSACHUSETTS,September,Thunderstorm Wind,0.30K,42.7029,-72.889
4,MASSACHUSETTS,September,Thunderstorm Wind,0.50K,42.644,-72.5257
4,MASSACHUSETTS,September,Thunderstorm Wind,1.00K,42.3767,-71.2417
4,MASSACHUSETTS,September,Thunderstorm Wind,5.00K,42.3876,-71.183
4,MASSACHUSETTS,September,Thunderstorm Wind,0.70K,42.42,-71.11
4,MASSACHUSETTS,September,Lightning,5.00K,42.4108,-71.1205
4,MASSACHUSETTS,September,Thunderstorm Wind,15.00K,42.4235,-71.152
2,RHODE ISLAND,September,Flood,0.00K,42.0025,-71.5109
2,RHODE ISLAND,September,Flood,0.00K,41.8727,-71.4092
2,RHODE ISLAND,September,Flood,0.00K,41.8776,-71.3958
2,MASSACHUSETTS,September,Flood,0.00K,42.1104,-71.8332
2,MASSACHUSETTS,September,Flood,0.00K,42.1122,-71.6636
2,MASSACHUSETTS,September,Flood,0.00K,42.1398,-71.516
2,MASSACHUSETTS,September,Flood,0.00K,42.3723,-71.2446
2,MASSACHUSETTS,September,Flood,0.00K,42.3861,-71.1911
2,MASSACHUSETTS,September,Flood,0.00K,42.4479,-71.0584
2,MASSACHUSETTS,September,Flood,0.00K,42.4032,-71.1135
1,MISSOURI,May,Heavy Rain,0.00K,36.79,-92.58
1,MISSOURI,May,Heavy Rain,0.00K,37.8,-93.5
1,MISSOURI,May,Heavy Rain,0.00K,37.28,-91.41
1,MISSOURI,May,Heavy Rain,0.00K,37.84,-94.35
1,MISSOURI,May,Heavy Rain,0.00K,37.73,-92.14
20,KANSAS,May,Thunderstorm Wind,0.00K,37.5985,-95.0653
23,TEXAS,May,Hail,0.00K,36.01,-100.26
24,OHIO,June,Thunderstorm Wind,1.50K,39.96,-82.09
12,ALABAMA,June,Thunderstorm Wind,0.20K,34.47,-85.79
24,OHIO,June,Thunderstorm Wind,0.00K,39.95,-82.01
1,IOWA,October,Heavy Rain,0.00K,41.42,-93.7
24,OHIO,June,Thunderstorm Wind,1.00K,39.9975,-82.0366
4,VIRGINIA,July,Thunderstorm Wind,2.00K,36.67,-78.21
4,FLORIDA,August,Lightning,6.00K,26.99,-82.1
15,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,27.663,-82.618
1,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,26.72,-82.26
2,FLORIDA,August,Heavy Rain,0.00K,27.8259,-81.5933
16,FLORIDA,August,Thunderstorm Wind,0.00K,27.86,-82.85
17,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,27.61,-82.76
17,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,27.6,-82.65
11,ALASKA,April,Blizzard,0.00K,,
8,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.82,-75.98
11,MARYLAND,July,Thunderstorm Wind,2.00K,38.37,-75.59
11,MARYLAND,July,Thunderstorm Wind,2.00K,38.3,-76.08
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.16,-76.38
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.57,-76.27
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.25,-76.33
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.82,-75.98
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.3,-76.25
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.26,-76.02
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.05,-76.26
23,VIRGINIA,July,Heavy Rain,0.00K,36.8,-76.33
23,VIRGINIA,July,Thunderstorm Wind,1.00K,36.63,-76.24
22,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,36.98,-76.36
22,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,36.98,-76.32
22,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.83,-75.99
22,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,38.33,-75.08
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,36.92,-76
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.23,-76.48
13,CALIFORNIA,July,Rip Current,0.00K,,
20,KANSAS,May,Heavy Rain,0.00K,37.4,-94.71
20,KANSAS,May,Heavy Rain,0.00K,37.84,-94.71
3,SOUTH DAKOTA,March,Extreme Cold/Wind Chill,0.00K,,
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.04,-76.08
11,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.17,-75.99
31,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,36.92,-76.09
2,FLORIDA,July,Hail,0.00K,30.18,-81.75
2,FLORIDA,July,Thunderstorm Wind,0.00K,30.15,-81.75
2,ATLANTIC SOUTH,July,Marine Thunderstorm Wind,0.00K,30.26,-81.65
23,VIRGINIA,July,Thunderstorm Wind,2.00K,36.58,-76.04
31,NORTH CAROLINA,July,Thunderstorm Wind,1.00K,36.33,-76.5
18,NORTH CAROLINA,July,Thunderstorm Wind,1.00K,36.43,-77.23
31,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.82,-75.98
31,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.25,-76.33
31,ATLANTIC NORTH,July,Marine Thunderstorm Wind,0.00K,37.65,-75.9
31,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,27.99,-82.83
12,MARYLAND,April,Thunderstorm Wind,,39.58,-78.73
20,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,27.6,-82.65
21,ALASKA,April,Heavy Snow,0.00K,,
28,ALASKA,April,High Wind,0.00K,,
8,VIRGINIA,April,Thunderstorm Wind,,37.56,-78.89
31,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,27.4015,-82.5586
14,VIRGINIA,April,Thunderstorm Wind,,38.06,-78.69
14,VIRGINIA,April,Thunderstorm Wind,,37.96,-78.65
26,MISSISSIPPI,August,Flash Flood,3.00K,31.98,-89.93
8,MARYLAND,April,Thunderstorm Wind,,38.2565,-76.8429
31,GULF OF MEXICO,August,Marine Thunderstorm Wind,0.00K,28.06,-82.81
14,VIRGINIA,April,Thunderstorm Wind,,38.02,-78.8
19,MARYLAND,April,Thunderstorm Wind,,39.33,-77.43
26,MISSISSIPPI,August,Flash Flood,10.00K,31.9584,-89.8399
7,VERMONT,August,Thunderstorm Wind,25.00K,44.35,-72.35
19,WEST VIRGINIA,April,Thunderstorm Wind,,38.86,-79.16
19,WEST VIRGINIA,April,Thunderstorm Wind,,38.92,-78.94
26,MISSISSIPPI,August,Flash Flood,10.00K,32.2741,-90.1293
14,VIRGINIA,April,Thunderstorm Wind,,38.43,-78.62
17,VERMONT,August,Thunderstorm Wind,20.00K,43.48,-73.21
14,VIRGINIA,April,Thunderstorm Wind,,38.06,-78.5
14,VIRGINIA,April,Thunderstorm Wind,,38.11,-78.37
15,DISTRICT OF COLUMBIA,April,Thunderstorm Wind,,38.87,-76.99
17,VERMONT,August,Thunderstorm Wind,15.00K,43.59,-73.05
26,MISSISSIPPI,August,Flash Flood,2.00K,31.93,-89.91
19,WEST VIRGINIA,April,Thunderstorm Wind,,39.14,-78.91
26,MISSISSIPPI,August,Flash Flood,3.00K,32.26,-90.13
14,VIRGINIA,April,Thunderstorm Wind,,38.26,-78.4
6,NEW YORK,August,Thunderstorm Wind,30.00K,43.95,-73.44
15,VIRGINIA,April,Thunderstorm Wind,,38.72,-77.1
17,VERMONT,August,Thunderstorm Wind,25.00K,43.53,-72.73
14,VIRGINIA,April,Thunderstorm Wind,,38.03,-79.06
14,VIRGINIA,April,Thunderstorm Wind,,37.88,-78.9
15,VIRGINIA,April,Thunderstorm Wind,,38.27,-77.45
17,VERMONT,August,Thunderstorm Wind,20.00K,43.72,-72.42
19,WEST VIRGINIA,April,Thunderstorm Wind,,39.07,-78.95
17,VERMONT,August,Thunderstorm Wind,20.00K,43.48,-72.42
17,VERMONT,August,Thunderstorm Wind,15.00K,43.79,-72.26
12,OHIO,January,Winter Storm,,,
12,OHIO,January,Winter Storm,,,
31,NORTH DAKOTA,July,Hail,0.00K,48.44,-101.33
21,NORTH DAKOTA,July,Funnel Cloud,0.00K,47.39,-99.94
21,NORTH DAKOTA,July,Funnel Cloud,0.00K,48.3,-101.29
17,NORTH DAKOTA,July,Hail,0.00K,46.34,-102.16
17,NORTH DAKOTA,July,Hail,0.00K,46.96,-102.91
17,NORTH DAKOTA,July,Thunderstorm Wind,0.00K,46.91,-102.77
17,NORTH DAKOTA,July,Hail,0.00K,46.05,-101.34
1,SOUTH DAKOTA,April,Flood,0.00K,43.1691,-97.688
12,OHIO,January,Winter Storm,,,
12,OHIO,January,Winter Storm,,,
29,VIRGINIA,January,Winter Weather,,,
29,VIRGINIA,January,Winter Weather,,,
19,VIRGINIA,April,Thunderstorm Wind,,38.13,-77.79
19,VIRGINIA,April,Thunderstorm Wind,,38.1,-77.76
15,VIRGINIA,April,Thunderstorm Wind,,38.31,-77.42
15,VIRGINIA,April,Thunderstorm Wind,,38.26,-77.48
15,VIRGINIA,April,Thunderstorm Wind,,38.42,-77.37
15,VIRGINIA,April,Thunderstorm Wind,,38.97,-77.62
26,MARYLAND,April,Thunderstorm Wind,,39.02,-77.11
26,MARYLAND,April,Thunderstorm Wind,,39.21,-77.14
26,MARYLAND,April,Thunderstorm Wind,,38.97,-76.86
19,VIRGINIA,April,Tornado,,37.699,-78.789
26,VIRGINIA,April,Thunderstorm Wind,,38.17,-78.28
26,VIRGINIA,April,Thunderstorm Wind,,37.98,-78.34
26,VIRGINIA,April,Thunderstorm Wind,,38.2,-77.97
26,VIRGINIA,April,Thunderstorm Wind,,38.42,-77.95
8,GEORGIA,August,Thunderstorm Wind,1.00K,31.78,-82.37
26,VIRGINIA,April,Thunderstorm Wind,,38.48,-77.75
26,VIRGINIA,April,Thunderstorm Wind,,38.09,-77.76
26,VIRGINIA,April,Thunderstorm Wind,,38.31,-77.81
19,VIRGINIA,April,Thunderstorm Wind,,38.57,-77.57
17,NEW YORK,August,Thunderstorm Wind,10.00K,43.9,-73.75
26,VIRGINIA,April,Thunderstorm Wind,,38.7,-77.59
26,VIRGINIA,April,Thunderstorm Wind,,38.2,-77.62
26,VIRGINIA,April,Thunderstorm Wind,,38.2993,-77.4871
26,VIRGINIA,April,Thunderstorm Wind,,38.26,-77.16
17,VERMONT,August,Thunderstorm Wind,20.00K,43.82,-72.23
17,VERMONT,August,Thunderstorm Wind,5.00K,43.79,-72.76
19,VIRGINIA,April,Thunderstorm Wind,,38.3,-77.71
19,VIRGINIA,April,Thunderstorm Wind,,38.91,-77.37
15,VIRGINIA,April,Thunderstorm Wind,,38.32,-77.55
26,VIRGINIA,April,Thunderstorm Wind,,38.65,-77.35
26,VIRGINIA,April,Thunderstorm Wind,,38.75,-77.05
26,VIRGINIA,April,Thunderstorm Wind,,38.51,-77.3
15,VIRGINIA,April,Thunderstorm Wind,,38.42,-77.4
27,COLORADO,May,Hail,,40.41,-102.59
1,ATLANTIC SOUTH,August,Marine Thunderstorm Wind,0.00K,29.85,-81.27
19,VIRGINIA,April,Tornado,,38.9302,-77.3783
1,ATLANTIC SOUTH,August,Marine Thunderstorm Wind,0.00K,29.77,-81.25
7,KENTUCKY,August,Flash Flood,1.00K,38.27,-83.76
19,VIRGINIA,April,Thunderstorm Wind,,38.8154,-77.439
27,KENTUCKY,August,Flash Flood,0.00K,38.1418,-83.8575
26,VIRGINIA,April,Thunderstorm Wind,,37.8,-78.55
1,FLORIDA,August,Flood,0.00K,30.3591,-81.6756
26,VIRGINIA,April,Thunderstorm Wind,,38.1,-78.46
26,VIRGINIA,April,Thunderstorm Wind,,38.16,-78.31
2,FLORIDA,August,Heavy Rain,0.00K,28.98,-82.02
19,VIRGINIA,April,Thunderstorm Wind,,37.69,-78.95
19,VIRGINIA,April,Thunderstorm Wind,,37.76,-78.87
10,FLORIDA,August,Heavy Rain,0.00K,30.17,-81.63
26,VIRGINIA,April,Thunderstorm Wind,,38.98,-77.3985
26,VIRGINIA,April,Thunderstorm Wind,,39.0084,-77.3608
26,MARYLAND,April,Thunderstorm Wind,,39.55,-76.61
10,FLORIDA,August,Heavy Rain,0.00K,30.02,-81.8
26,VIRGINIA,April,Thunderstorm Wind,,39.0109,-77.2771
10,FLORIDA,August,Thunderstorm Wind,0.00K,30.15,-81.74
26,DISTRICT OF COLUMBIA,April,Thunderstorm Wind,,38.89,-76.99
26,MARYLAND,April,Thunderstorm Wind,,39.07,-77.21
26,MARYLAND,April,Thunderstorm Wind,,39.08,-76.65
12,OHIO,January,Winter Storm,,,
12,OHIO,January,Winter Storm,,,
12,OHIO,January,Winter Storm,,,
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.13,-76.42
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38,-76.47
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.55,-76.0378
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.32,-76.45
27,NEVADA,March,Heavy Rain,,39.1,-119.91
27,NEVADA,March,Heavy Rain,,39.17,-119.78
28,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.34,-76.99
28,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.37,-77
27,CALIFORNIA,March,Heavy Rain,,39.33,-120.28
25,CALIFORNIA,March,High Wind,,,
25,CALIFORNIA,March,High Wind,,,
25,CALIFORNIA,March,High Wind,,,
27,CALIFORNIA,March,Heavy Rain,,39.5898,-120.3933
29,FLORIDA,August,Coastal Flood,0.00K,,
14,TENNESSEE,April,Thunderstorm Wind,,36.22,-83.29
14,TENNESSEE,April,Thunderstorm Wind,,36.41,-83.01
14,TENNESSEE,April,Thunderstorm Wind,,36.28,-82.18
8,TENNESSEE,April,Thunderstorm Wind,,35.24,-85.83
8,TENNESSEE,April,Thunderstorm Wind,,36.06,-83.76
14,TENNESSEE,April,Thunderstorm Wind,,35.66,-84.97
14,TENNESSEE,April,Thunderstorm Wind,,35.67,-84.98
14,TENNESSEE,April,Thunderstorm Wind,,35.93,-84.55
11,MONTANA,August,Hail,0.00K,46.9,-108.33
7,WISCONSIN,February,Winter Weather,0.00K,,
11,WISCONSIN,February,Winter Weather,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
15,WISCONSIN,January,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
2,WISCONSIN,February,Winter Weather,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
12,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
10,MAINE,August,Hail,,46.08,-68.1591
12,MISSOURI,August,Excessive Heat,0.00K,,
12,MISSOURI,August,Excessive Heat,0.00K,,
12,MISSOURI,August,Heat,0.00K,,
12,MISSOURI,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
27,WISCONSIN,January,Winter Weather,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
12,KENTUCKY,August,Heat,0.00K,,
7,WEST VIRGINIA,August,Flash Flood,0.50K,38.417,-82.4429
8,OHIO,August,Flash Flood,10.00K,39.48,-81.84
8,OHIO,August,Hail,0.00K,39.72,-82.3
8,OHIO,August,Hail,0.00K,39.22,-81.8
27,WISCONSIN,January,Winter Weather,0.00K,,
27,WISCONSIN,January,Winter Weather,0.00K,,
27,WISCONSIN,January,Winter Storm,0.00K,,
27,WISCONSIN,January,Winter Storm,0.00K,,
27,WISCONSIN,January,Winter Storm,0.00K,,
15,GEORGIA,August,Heavy Rain,0.00K,31.79,-82.39
15,GEORGIA,August,Heavy Rain,0.00K,31.79,-82.39
16,NEBRASKA,March,Flood,50.00K,42.7854,-100.0355
13,NEBRASKA,March,Flood,50.00K,42.6994,-99.5714
18,TENNESSEE,April,Thunderstorm Wind,,35.24,-84.37
4,NEBRASKA,March,Extreme Cold/Wind Chill,0.00K,,
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.23,-76.95
26,MARYLAND,April,Thunderstorm Wind,,39.62,-76.54
26,MARYLAND,April,Thunderstorm Wind,0.00K,39.71,-76.59
26,MARYLAND,April,Tornado,,39.5647,-76.6103
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.6501,-77.2203
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.87,-77.02
19,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.04,-76.32
19,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.22,-76.04
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.31,-76.93
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38,-76.47
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.04,-76.32
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.13,-76.42
17,FLORIDA,August,Flood,0.00K,29.9245,-82.426
19,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.14,-75.79
19,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,37.97,-75.88
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38,-76.47
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.04,-76.32
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.31,-77.03
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.34,-76.99
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.22,-76.04
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.26,-76.18
26,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.98,-76.48
26,ATLANTIC NORTH,April,Marine Hail,,39.1073,-76.5711
28,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,39.29,-76.58
28,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.94,-76.44
28,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.97,-76.46
28,ATLANTIC NORTH,April,Marine Thunderstorm Wind,,38.98,-76.48
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
5,WISCONSIN,February,Winter Weather,0.00K,,
2,WISCONSIN,February,Winter Weather,0.00K,,
2,WISCONSIN,February,Winter Weather,0.00K,,
2,WISCONSIN,February,Winter Weather,0.00K,,
7,WISCONSIN,February,Winter Weather,0.00K,,
7,WISCONSIN,February,Winter Weather,0.00K,,
7,WISCONSIN,February,Winter Weather,0.00K,,
7,WISCONSIN,February,Winter Weather,0.00K,,
7,WISCONSIN,February,Winter Weather,0.00K,,
7,WISCONSIN,February,Winter Weather,0.00K,,
11,MONTANA,August,Thunderstorm Wind,0.00K,47.28,-105.29
11,MONTANA,August,Thunderstorm Wind,0.00K,47.03,-104.34
11,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
20,WISCONSIN,February,Winter Weather,0.00K,,
11,MONTANA,August,Thunderstorm Wind,0.00K,46.98,-104.18
14,MONTANA,August,Thunderstorm Wind,0.00K,48.39,-104.5
3,WISCONSIN,February,Cold/Wind Chill,0.00K,,
24,WISCONSIN,February,Strong Wind,1.00K,,
24,WISCONSIN,February,Strong Wind,1.00K,,
24,WISCONSIN,February,Strong Wind,1.00K,,
24,WISCONSIN,February,Strong Wind,1.00K,,
24,WISCONSIN,February,Strong Wind,1.00K,,
24,WISCONSIN,February,Strong Wind,1.00K,,
24,WISCONSIN,February,High Wind,2.00K,,
24,WISCONSIN,February,High Wind,2.00K,,
24,WISCONSIN,February,High Wind,2.00K,,
6,WISCONSIN,February,Flood,1.00K,42.5962,-88.2139
11,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
11,WISCONSIN,February,Winter Storm,0.00K,,
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,0.00K,40.5906,-73.5574
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,0.00K,40.6244,-73.2593
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,0.00K,40.9,-73.63
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,0.00K,41.25,-72.03
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,0.00K,41.2478,-72.9008
8,OHIO,August,Thunderstorm Wind,2.00K,39.5,-81.93
8,OHIO,August,Thunderstorm Wind,2.00K,39.22,-81.8
8,OHIO,August,Thunderstorm Wind,1.00K,39.4689,-81.8354
8,WEST VIRGINIA,August,Flash Flood,1.00K,39.2932,-81.5415
9,WEST VIRGINIA,August,Hail,0.00K,37.79,-81.13
9,WEST VIRGINIA,August,Hail,0.00K,37.87,-82.02
9,WEST VIRGINIA,August,Hail,0.00K,37.79,-81.97
9,WEST VIRGINIA,August,Hail,0.00K,37.84,-82.06
9,WEST VIRGINIA,August,Hail,0.00K,37.77,-81.99
9,WEST VIRGINIA,August,Hail,0.00K,37.76,-82
9,WEST VIRGINIA,August,Hail,0.00K,37.63,-81.89
10,MAINE,August,Hail,,46.1155,-68.17
10,MAINE,August,Hail,,46.0733,-67.966
14,MONTANA,August,Hail,0.00K,45.9,-105.66
14,MONTANA,August,Hail,0.00K,45.37,-105.04
14,MONTANA,August,Hail,0.00K,45.29,-105.02
14,MONTANA,August,Hail,0.00K,45.26,-104.89
10,MONTANA,August,Hail,0.00K,45.3,-109.18
10,MONTANA,August,Hail,0.00K,46.14,-109.73
10,MONTANA,August,Hail,0.00K,46.15,-109.67
10,MONTANA,August,Thunderstorm Wind,0.00K,46.69,-109.75
23,WYOMING,August,Hail,0.00K,44.57,-106.93
15,NEW YORK,April,Thunderstorm Wind,3.00K,41.4003,-74.1392
15,NEW YORK,April,Thunderstorm Wind,10.00K,40.65,-73.95
15,NEW YORK,April,Thunderstorm Wind,15.00K,40.75,-73.78
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,0.00K,40.55,-73.93
15,ATLANTIC NORTH,April,Marine Thunderstorm Wind,0.00K,41.27,-72.59
23,WYOMING,August,Hail,0.00K,44.58,-106.91
7,TENNESSEE,February,Flash Flood,0.00K,36.4891,-83.1691
21,TENNESSEE,February,Debris Flow,8.72M,36.4997,-83.03
